LV_ID,STAGE_NAME,STAGE_NO,IS_DUMMY,MULTIPLICITY,STAGE_IMPULSE,STAGE_APOGEE,STAGE_PERIGEE
151,Atlas C Booster,0,0,1,,0,-6378
152,Atlas D,1,0,1,,250,-5800
152,Atlas D Booster,0,0,1,,100,-6000
152,Centaur,2,0,1,,250,250
153,Atlas D,1,0,1,,250,-5800
153,Atlas D Booster,0,0,1,,100,-6000
153,Centaur D,2,0,1,,250,250
154,Atlas D,1,0,1,,1000,-2700
154,Atlas D Booster,0,0,1,,120,-6100
155,Atlas E,1,0,1,,1017,-3500
155,Atlas E/F Booster,0,0,1,,172,-6031
156,Atlas E,1,0,1,,740,-3550
156,Atlas E/F Booster,0,0,1,,120,-6100
156,Star 20,2,0,1,,740,740
157,Atlas E,1,0,1,,1050,-800
157,Atlas E/F Booster,0,0,1,,120,-6100
157,MSD,2,0,1,,1000,1000
158,Atlas E,1,0,1,,800,-2000
158,Atlas E/F Booster,0,0,1,,120,-6100
158,OIS,2,0,1,,800,600
159,Atlas E,1,0,1,,550,-4850
159,Atlas E/F Booster,0,0,1,,120,-6100
159,Star 48,3,0,1,,20900,550
159,Star 48,2,0,1,,550,-2800
160,Atlas E,1,0,1,,750,-2800
160,Atlas E/F Booster,0,0,1,,120,-6100
160,Star 37E,2,0,1,,1800,-1000
160,Star 37E,3,0,1,,20200,190
161,Atlas E,1,0,1,,1000,-3000
161,Atlas E/F Booster,0,0,1,,120,-6100
161,Trident,2,0,1,,1000,-3000
162,Atlas E/F Booster,0,0,1,,143,-6110
162,Atlas F,1,0,1,,1000,-3450
163,Agena D,2,0,1,,780,100
163,Atlas E/F Booster,0,0,1,,120,-6100
163,Atlas F,1,0,1,,780,-3500
164,Atlas E/F Booster,0,0,1,,120,-6100
164,Atlas F,1,0,1,,1050,-800
164,MSD,2,0,1,,1000,1000
165,Atlas E/F Booster,0,0,1,,120,-6100
165,Atlas F,1,0,1,,600,-1900
165,OIS,2,0,1,,600,600
166,Atlas E/F Booster,0,0,1,,120,-6100
166,Atlas F,1,0,1,,200,-2450
166,Star 37E,2,0,1,,13600,190
167,Atlas E/F Booster,0,0,1,,120,-6100
167,Atlas F,1,0,1,,750,-2800
167,Star 37E,3,0,1,,20200,190
167,Star 37E,2,0,1,,1800,-1000
168,Atlas E/F Booster,0,0,1,,120,-6100
168,Atlas F,1,0,1,,1000,-3000
168,Trident,2,0,1,,1000,-3000
169,Atlas Booster,0,0,1,,120,-5940
169,Atlas G,1,0,1,,200,-5300
169,Centaur D-1A,2,0,1,,200,200
170,Atlas Booster,0,0,1,,120,-6100
170,Atlas H,1,0,1,,1000,-800
171,Atlas Booster,0,0,1,,100,-6000
171,Atlas I,1,0,1,,150,-5900
171,Centaur I,2,0,1,,200,200
172,Atlas Booster,0,0,1,340725,100,-6000
172,Atlas II,1,0,1,104284,150,-5900
172,Centaur II,2,0,1,,200,200
173,Atlas Booster,0,0,1,340725,100,-6000
173,Atlas II,1,0,1,104284,150,-5900
173,Centaur IIA,2,0,1,73408,200,200
174,Atlas Booster,-1,0,1,340725,90,-5900
174,Atlas II,1,0,1,104284,200,-5550
174,Castor 4A,0,0,4,97495,50,-6000
174,Centaur IIA,2,0,1,73408,200,200
175,Atlas Booster,0,0,1,,200,-6150
175,Atlas SLV-3,1,0,1,,200,200
176,Agena B,2,0,1,,500,200
176,Atlas Booster,0,0,1,,120,-6100
176,Atlas SLV-3,1,0,1,,180,-5000
177,Agena D,2,0,1,,500,200
177,Atlas Booster,0,0,1,,120,-6100
177,Atlas SLV-3,1,0,1,,180,-5000
178,Agena D,2,0,1,,500,200
178,Atlas Booster,0,0,1,,120,-6100
178,Atlas SLV-3A,1,0,1,,180,-5000
179,Atlas Booster,0,0,1,,100,-6000
179,Atlas SLV-3C,1,0,1,,250,-5800
179,Centaur D,2,0,1,,200,200
180,Atlas Booster,0,0,1,,100,-6000
180,Atlas SLV-3D,1,0,1,,250,-5800
180,Centaur D-1A,2,0,1,,200,200
181,Atlas CCB,1,0,1,,200,-5000
181,Centaur IIIB/C-1,2,0,1,,1500,200
182,Atlas CCB,1,0,1,,200,-5000
182,Centaur IIIB/SEC,2,0,1,,1500,200
183,Atlas CCB,1,0,1,,350,-3850
183,Atlas V SRM,0,0,1,,75,-6100
183,Centaur IIIB/C-1,2,0,1,,4000,200
184,Atlas CCB,1,0,1,,350,-3850
184,Atlas V SRM,0,0,1,,75,-6100
184,Centaur IIIB/SEC,2,0,1,,4000,200
185,Atlas CCB,1,0,1,,350,-3850
185,Atlas V SRM,0,0,2,,75,-6100
185,Centaur IIIB/C-1,2,0,1,,4000,200
186,Atlas CCB,1,0,1,,350,-3850
186,Atlas V SRM,0,0,2,,75,-6100
186,Centaur IIIB/SEC,2,0,1,,4000,200
187,Atlas CCB,1,0,1,,350,-3850
187,Atlas V SRM,0,0,3,,75,-6100
187,Centaur IIIB/C-1,2,0,1,,4000,200
188,Atlas CCB,1,0,1,,350,-3850
188,Atlas V SRM,0,0,3,,75,-6100
188,Centaur IIIB/SEC,2,0,1,,4000,200
189,Atlas CCB,1,0,1,,200,-5000
189,Centaur IIIB/C-1,2,0,1,,1500,200
190,Atlas CCB,1,0,1,,200,-5000
190,Centaur IIIB/SEC,2,0,1,,1500,200
191,Atlas CCB,1,0,1,,350,-3850
191,Atlas V SRM,0,0,2,,75,-6100
191,Centaur IIIB/SEC,2,0,1,,4000,200
192,Atlas CCB,1,0,1,,350,-3850
192,Atlas V SRM,0,0,3,,75,-6100
192,Centaur IIIB/SEC,2,0,1,,4000,200
193,Atlas CCB,1,0,1,,350,-3850
193,Atlas V SRM,0,0,4,,75,-6100
193,Centaur IIIB/C-1,2,0,1,,4000,200
194,Atlas CCB,1,0,1,,350,-3850
194,Atlas V SRM,0,0,4,,75,-6100
194,Centaur IIIB/SEC,2,0,1,,4000,200
195,Atlas CCB,1,0,1,,350,-3850
195,Atlas V SRM,0,0,5,,75,-6100
195,Centaur IIIB/C-1,2,0,1,,4000,200
196,Atlas CCB,1,0,1,,350,-3850
196,Atlas V SRM,0,0,5,,75,-6100
196,Centaur IIIB/SEC,2,0,1,,4000,200
197,Aurore,1,0,1,,40,-6370
198,B-611,1,0,1,,100,-6370
199,BLDT,1,0,1,,10,-6378
200,BT-310,1,0,1,,1,-6378
201,Badr-1,1,0,1,,20,-6378
202,Aurore,2,0,1,,120,-6300
202,Elan,1,0,1,,15,-6370
203,Belier,1,0,1,,60,-6300
204,Belier III,1,0,1,,120,-6300
205,Belisama,2,0,1,,90,-6370
205,Elan,1,0,1,,10,-6370
206,BER,1,0,1,,8,-6370
206,Berenice St2,2,0,1,,250,-6300
206,Melanie,4,0,1,,250,-6300
206,Tramontane,3,0,1,,250,-6300
207,Black Arrow,1,0,1,,92,-6291
207,Black Arrow St2,2,0,1,,550,-5040
207,Waxwing,3,1,1,,550,-5040
208,Black Arrow,1,0,1,,92,-6291
208,Black Arrow St2,2,0,1,,550,-5040
208,Waxwing,3,0,1,,1580,550
209,Black Brant VC,2,0,1,,250,-6360
209,Nihka,3,0,1,,1000,-6300
209,Terrier Mk 70,1,0,1,,5,-6378
210,Black Brant VB,2,0,1,,340,-6350
210,Nike,1,0,1,,5,-6378
211,Black Brant VC,2,0,1,,340,-6350
211,Nike,1,0,1,,5,-6378
212,Black Brant VB,2,0,1,,350,-6350
212,Terrier Mk 70,1,0,1,,5,-6378
213,Black Brant VC,2,0,1,,350,-6350
213,Terrier Mk 70,1,0,1,,5,-6378
214,Black Brant I,1,0,1,,130,-6370
215,Black Brant VA,1,0,1,,130,-6370
216,Black Brant IIB,1,0,1,,130,-6370
217,Black Brant IIIA,1,0,1,,180,-6370
218,Black Brant IIIB,1,0,1,,180,-6370
219,Black Brant IIIA,2,0,1,,800,-6350
219,Black Brant VA,1,0,1,,100,-6370
220,Black Brant IIIB,2,0,1,,800,-6350
220,Black Brant VA,1,0,1,,100,-6370
221,Black Brant Mk1,2,0,1,,350,-6350
221,Terrier Mk 70,1,0,1,,5,-6378
222,Black Brant Mk3,2,0,1,,350,-6350
222,Terrier Mk 70,1,0,1,,5,-6378
223,Black Brant Mk4,2,0,1,,350,-6350
223,Terrier Mk 70,1,0,1,,5,-6378
224,Black Brant VC,2,0,1,,350,-6350
224,Terrier,1,0,1,,5,-6378
225,Black Brant VB,2,0,1,,350,-6350
225,Terrier,1,0,1,,5,-6378
226,Black Brant VA,1,0,1,,180,-6370
227,Black Brant VB,1,0,1,,180,-6370
228,Black Brant VC,1,0,1,,180,-6370
229,Black Brant VI,1,0,1,,80,-6378
230,Black Brant VII,1,0,1,,40,-6378
231,Black Brant VB,2,0,1,,250,-6360
231,Nihka,3,0,1,,1000,-6300
231,Terrier,1,0,1,,5,-6378
232,Black Brant VB,2,0,1,,250,-6360
232,Nihka,3,0,1,,1000,-6300
232,Terrier,1,0,1,,5,-6378
233,Black Brant Mk1,3,0,1,,300,-6350
233,Talos,1,0,1,,5,-6378
233,Taurus,2,0,1,,19,-6370
234,Black Brant VB,3,0,1,,300,-6350
234,Talos,1,0,1,,5,-6378
234,Taurus,2,0,1,,19,-6370
235,Black Brant Mk1,3,0,1,,340,-6340
235,Talos,1,0,1,,5,-6378
235,Terrier Mk 70,2,0,1,,19,-6370
236,Black Brant Mk1,3,0,1,,340,-6340
236,Nihka,4,0,1,,800,-6270
236,Talos,1,0,1,,5,-6378
236,Taurus,2,0,1,,19,-6370
237,Black Brant VB,3,0,1,,340,-6340
237,Nihka,4,0,1,,800,-6270
237,Talos,1,0,1,,5,-6378
237,Taurus,2,0,1,,19,-6370
238,Black Brant Mk1,3,0,1,,340,-6340
238,Nihka,4,0,1,,800,-6270
238,Talos,1,0,1,,5,-6378
238,Terrier Mk 70,2,0,1,,19,-6370
239,Black Knight,1,0,1,,600,-6350
240,Black Knight,1,0,1,,600,-6350
240,Cuckoo IB,2,0,1,,600,-6350
241,Black Knight,1,0,1,,600,-6350
241,Cuckoo II,2,0,1,,600,-6350
242,Black Knight 301,1,0,1,,600,-6350
242,Cuckoo IB,2,0,1,,600,-6350
243,Black Knight 301,1,0,1,,600,-6350
243,Cuckoo II,2,0,1,,600,-6350
244,Black Sparrow,1,0,1,,40,-6378
244,F-15D,0,0,1,,10,-6378
245,Algol 1,1,0,1,,70,-6350
245,Antares,3,0,1,,1300,-6168
245,Castor,2,0,1,,270,-6350
246,Algol 1,1,0,1,,70,-6350
246,Altair,4,0,1,,2500,-5000
246,Antares,3,0,1,,900,-6200
246,Castor,2,0,1,,170,-6340
247,Alcor,3,0,1,,1000,-4300
247,Antares,2,0,1,,200,-6300
247,Castor,1,0,1,,50,-6350
247,Cetus,4,0,1,,20000,-2000
248,Alcor,3,0,1,,2200,-6120
248,Antares,2,0,1,,200,-6300
248,Castor,1,0,1,,50,-6350
249,Altair,3,0,1,,1000,-4600
249,Antares,2,0,1,,200,-6300
249,Castor,1,0,1,,50,-6350
250,Blue Sparrow,1,0,1,,100,-6378
250,F-15D,0,0,1,,10,-6378
251,Blue Streak,1,0,1,,240,-5800
252,Saluki B,1,0,1,,10,-6370
252,Saluki S,2,0,1,,10,-6370
253,B-47 Stratojet,0,0,1,,10,-6378
253,Sergeant,1,0,1,,100,-6350
254,Altair,2,0,1,,200,-6300
254,B-47 Stratojet,0,0,1,,10,-6378
254,Sergeant,1,0,1,,90,-6350
255,Bomarc A,1,0,1,,20,-6378
256,Bomarc B,1,0,1,,20,-6378
257,Arcas,2,0,1,,100,-6370
257,MARC 14A1,1,0,1,,2,-6378
258,Arcas,2,0,1,,100,-6370
258,MARC 42A1,1,0,1,,2,-6378
259,KN-11,1,0,1,,1000,-6100
259,KN-11-2,2,0,1,,1000,-6100
260,KN-11,1,0,1,,1000,-6100
260,KN-11-2,2,0,1,,1000,-6100
261,15Zh58MA,1,0,1,,70,-6300
261,15Zh58MB,2,0,1,,200,-6000
261,15Zh58MV,3,0,1,,1000,-4000
262,Bull Goose,1,0,1,,20,-6378
263,Apache,2,0,1,,41,-6378
263,Bullpup,1,0,1,,2,-6378
264,Bullpup,1,0,1,,2,-6378
264,Cajun,2,0,1,,50,-6378
265,V-2,1,0,1,,100,-6370
